Grid_Ref	longitude	latitude	Rainforest.P	Residential.P	Fruit.P	Other.P	Total_Road	Sightings	Strikes	Residential.01	Fruit.01	Dresid	Dfruit
M12	397500	8026500	0.727754	0	0.239704	0.0325424	1.21863	0	0	0	1	3577.2985708	0
M13	397500	8025500	0.991887	0	0	0.00811265	1.2911248	0	0	0	0	3332.90812657	814.086140833
M14	397500	8024500	0.725435	0	0.113198	0.161367	0.409288	1	0	0	1	2871.48015875	220.067686848
M22	397500	8016500	0.810029	0	0.189971	0	1.01365	43	2	0	1	1787.07349036	333.316105923
M29	397500	8009500	0.192504	0	0	0.807496	1.02796	0	0	0	0	787.704787152	1763.32689928
N01	398500	8037500	0.0532997	0	0.00854997	0.93815	1.09515	0	0	0	1	1569.96205094	563.434190863
N02	398500	8036500	0.0224691	0	0.0060755	0.971455	0.0523868	0	0	0	1	1862.23112622	598.058171898
N06	398500	8032500	0.153231	0	0.0281747	0.818594	1.02274	0	0	0	1	2288.85343282	219.543415861
N09	398500	8029500	0.210441	0	0.162019	0.62754	1.24589	3	0	0	1	1072.20746135	126.231157421
N13	398500	8025500	0.840472	0	0	0.159528	0.801942	0	0	0	0	4191.38049873	842.611067085
N22	398500	8016500	0.700171	0	0.0277061	0.272123	1.15388	5	1	0	1	984.301510321	472.834395999
N23	398500	8015500	0.783116	0	0.15753	0.0593547	0.0146191	30	0	0	1	602.822345447	272.807605125
N29	398500	8009500	0.668538	0	0	0.331462	1.03092	1	1	0	0	995.762868029	907.794686322
O02	399500	8036500	0.135287	0	0.0104315	0.854281	1.12178	0	0	0	1	2774.35026719	556.833571309
O06	399500	8032500	0.0397203	0	0.173377	0.786903	0.538596	0	0	0	1	2879.1932882	148.760006245
O09	399500	8029500	0.0576114	0	0.0988512	0.843537	0.2186258	0	0	0	1	1989.04717901	323.80126417
O10	399500	8028500	0.481499	0	0.0814809	0.43702	1.902865	19	5	0	1	2472.14099489	347.548719193
O11	399500	8027500	0.80245	0	0.134945	0.0626051	1.06594	36	4	0	1	3204.16190553	259.86620954
O12	399500	8026500	0.363296	0	0.518926	0.117777	0.205376	12	0	0	1	4052.38521554	0
O22	399500	8016500	0.927793	0.0144926	0.0485109	0.00920333	0.190332	0	1	1	1	474.479195084	366.908934063
O23	399500	8015500	0.609889	0.138673	0.213619	0.0378191	1.692797	238	13	1	1	64.4487334303	179.015710741
O29	399500	8009500	0.622887	0.159004	0.0389582	0.179151	1.53596	4	0	1	1	105.227480345	294.231358858
P02	400500	8036500	0.0422823	0	0	0.957718	0.956057	0	0	0	0	3730.06715836	760.75856229
P03	400500	8035500	0.595619	0	0.011782	0.3926	0.471877	0	0	0	1	3575.09306011	384.699335653
P08	400500	8030500	0.0391741	0	0.223017	0.737809	0.315694	0	0	0	1	2886.90878651	0
P09	400500	8029500	0.0534473	0	0.115265	0.831287	1.28115	2	0	0	1	2952.54298749	320.585683465
P12	400500	8026500	0.91809	0	0.0617017	0.0202083	1.31857	252	3	0	1	3318.36659277	360.895805763
P13	400500	8025500	1	0	0	0	0.45657	572	2	0	0	3006.75076273	765.170444995
P21	400500	8017500	1	0	0	0	0.501088	22	2	0	0	1421.66382389	1352.84560628
P22	400500	8016500	0.91482	0.000279444	0.0812986	0.0036015	1.099635	67	0	1	1	585.28731948	377.820667981
P23	400500	8015500	0.509215	0.218247	0.241773	0.0307655	1.01615	9	1	1	1	14.5248891462	10.5722431838
P24	400500	8014500	0.475738	0.461825	0	0	0.285672	1	0	1	0	0	986.005397795
P28	400500	8010500	0.780071	0.029983	0	0.0452118	0.742456	3	0	1	0	382.626838357	1595.35705096
P29	400500	8009500	0.436518	0.117855	0	0.444789	0.754282	6	0	1	0	328.436379292	952.648734445
P30	400500	8008500	0.46307	0.150311	0	0.0979118	1.23589	0	0	1	0	142.604235264	1042.95971042
P31	400500	8007500	0.118732	0.112337	0	0.0687661	1.069276	0	0	1	0	264.743631205	1261.61104688
Q02	401500	8036500	0	0	0.0176748	0.982325	0.0815144	0	0	0	1	2871.48754264	444.746053959
Q03	401500	8035500	0.252528	0	0.0432687	0.704204	1.983393	0	1	0	1	2579.82252536	463.103079556
Q08	401500	8030500	0.14434	0	0.213731	0.641929	1.8326909	0	0	0	1	2018.19130431	233.718542716
Q13	401500	8025500	1	0	0	0	0.602174	2	1	0	0	2152.83775424	1487.20135564
Q14	401500	8024500	1	0	0	0	1.795629	80	3	0	0	1732.19334481	2135.30743768
Q19	401500	8019500	1	0	0	0	1.5173848	419	1	0	0	2106.97837693	2327.12830551
Q20	401500	8018500	1	0	0	0	1.09863	237	0	0	0	2199.91856615	1978.00662786
Q21	401500	8017500	1	0	0	0	0.66378	45	0	0	0	1993.72973553	1578.6154676
Q28	401500	8010500	0.283492	0.0133193	0	0	0.65535	0	0	1	0	349.529508308	2310.97402748
Q29	401500	8009500	0.293855	0.0117099	0	0	0.110795	0	1	1	0	344.058846094	1924.31194115
R01	402500	8037500	0.710986	0	0	0.289014	1.05468	0	0	0	0	2756.38171061	1849.30685769
R02	402500	8036500	0.493289	0	0	0.506711	1.09073	0	0	0	0	2029.68829662	1281.10568442
R03	402500	8035500	0.0792402	0	0	0.92076	1.02922	0	0	0	0	1590.49619185	864.515118099
R08	402500	8030500	0.268061	0	0.125702	0.606236	1.18425	2	0	0	1	1179.17356723	241.496674012
R14	402500	8024500	1	0	0	0	1.09164	46	3	0	0	771.138139818	1136.85247672
R19	402500	8019500	0.979087	0	0	0.0209132	1.4101491	102	1	0	0	1124.29151569	1524.19438876
R20	402500	8018500	0.99227	0	0	0.00773036	0.892499	52	5	0	0	1270.93645506	1007.56288325
S03	403500	8035500	0.63456	0	0.0574848	0.307955	1.03839	0	0	0	1	635.509252632	0
S08	403500	8030500	0.530521	0	0	0.458063	0.769392	4	0	0	0	587.16937828	904.107262577
S09	403500	8029500	0.74766	0	0.108393	0.143947	1.17022	66	2	0	1	925.059249822	99.7729497238
S10	403500	8028500	0.231038	0.0507177	0.631111	0.087134	0.57824	33	0	1	1	368.494734426	0
S14	403500	8024500	0.720168	0.0503081	0.120421	0.109104	0.564627	9	1	1	1	354.154867562	159.151670621
S15	403500	8023500	0.617681	0.077217	0.0144975	0.290605	1.37896	154	0	1	1	307.068223759	485.826058729
S16	403500	8022500	0.558199	0.110347	0.327625	0.00382959	1.00347	77	4	1	1	198.004102969	0
S17	403500	8021500	0.641793	0.220532	0	0.137674	1.297101	96	1	1	0	90.8388432797	801.983969178
S18	403500	8020500	0.488657	0.0410097	0	0.470334	1.00208	31	3	1	0	271.008123757	1801.97204132
S19	403500	8019500	0.903246	0.0728058	0	0.0239482	1.13878	84	3	1	0	277.969104901	1011.66270457
S20	403500	8018500	0.625501	0.0378455	0.114169	0.222484	0.185541	5	2	1	1	416.502447939	110.84775369
S21	403500	8017500	0.721112	0	0.0421274	0.23676	1.830577	185	4	0	1	553.234738897	430.632773395
S22	403500	8016500	0.453269	0.245111	0	0.294208	1.0890366	163	2	1	0	9.54564249381	1335.240234
S23	403500	8015500	0.33304	0.234356	0	0.22537	0.973732	54	1	1	0	56.0070861055	2311.47698456
T03	404500	8035500	0.49051	0.0562644	0	0.453226	0.499967	0	0	1	0	355.595194664	679.614494135
T04	404500	8034500	0.532758	0.136057	0.0045182	0.326667	2.019243	0	0	1	1	261.489806347	447.963004801
T05	404500	8033500	0.139492	0.235193	0.0743839	0.173577	1.299718	0	0	1	1	0	212.634428159
T10	404500	8028500	0.382478	0.279094	0	0.0602008	1.04225	48	0	1	0	44.1660924722	601.108683759
T11	404500	8027500	0.666896	0.190399	0	0	1.03887	217	0	1	0	186.106589855	951.591488627
T13	404500	8025500	0.297955	0.236111	0.450454	0.0154797	0.466057	3	0	1	1	131.267256159	0
T14	404500	8024500	0.223359	0.0675037	0.561921	0.147216	0.0598029	12	0	1	1	344.828777384	0
